iter	Passed	Remaining
167	4350	21547
168	4376	21522
169	4404	21506
170	4431	21481
171	4456	21455
172	4482	21428
173	4508	21401
174	4532	21367
175	4557	21339
176	4583	21312
177	4609	21285
178	4633	21253
179	4658	21224
180	4684	21198
181	4710	21170
182	4734	21138
183	4758	21104
184	4786	21087
185	4813	21067
186	4843	21055
187	4868	21029
188	4893	20996
189	4920	20974
190	4947	20953
191	4972	20924
192	4998	20901
193	5025	20878
194	5052	20857
195	5079	20834
196	5103	20804
197	5130	20782
198	5155	20752
199	5180	20721
200	5208	20704
201	5234	20677
202	5260	20654
203	5285	20622
204	5309	20589
205	5334	20561
206	5359	20530
207	5384	20502
208	5412	20485
209	5439	20461
210	5465	20437
211	5491	20411
212	5516	20382
213	5541	20352
214	5567	20327
215	5592	20297
216	5618	20273
217	5642	20238
218	5669	20217
219	5693	20184
220	5719	20159
221	5744	20131
222	5770	20104
223	5796	20079
224	5821	20050
225	5845	20018
226	5871	19993
227	5895	19962
228	5921	19937
229	5946	19908
230	5972	19882
231	5997	19853
232	6023	19829
233	6047	19795
234	6072	19769
235	6098	19742
236	6122	19709
237	6147	19681
238	6175	19663
239	6198	19630
240	6225	19606
241	6253	19587
242	6280	19564
243	6303	19531
244	6327	19500
245	6353	19474
246	6379	19448
247	6407	19427
248	6432	19401
249	6458	19374
250	6481	19342
251	6508	19318
252	6535	19297
253	6561	19271
254	6586	19242
255	6612	19218
256	6638	19192
257	6665	19169
258	6691	19143
259	6715	19113
260	6742	19090
261	6768	19066
262	6795	19041
263	6821	19016
264	6848	18995
265	6873	18968
266	6899	18941
267	6924	18912
268	6950	18888
269	6976	18861
270	7002	18836
271	7025	18804
272	7051	18777
273	7077	18752
274	7101	18721
275	7127	18696
276	7154	18673
277	7179	18647
278	7205	18620
279	7232	18598
280	7258	18571
281	7284	18548
282	7310	18522
283	7336	18496
284	7362	18470
285	7388	18445
286	7412	18416
287	7439	18391
288	7465	18365
289	7491	18342
290	7519	18319
291	7543	18291
292	7570	18267
293	7597	18243
294	7626	18226
295	7652	18199
296	7680	18180
297	7707	18156
298	7734	18134
299	7760	18107
300	7784	18078
301	7810	18052
302	7836	18026
303	7863	18004
304	7889	17977
305	7913	17948
306	7939	17922
307	7964	17894
308	7991	17869
309	8014	17839
310	8038	17809
311	8064	17783
312	8090	17758
313	8116	17732
314	8141	17703
315	8166	17677
316	8193	17653
317	8220	17629
318	8244	17601
319	8269	17572
320	8294	17544
321	8319	17516
322	8343	17487
323	8369	17463
324	8392	17430
325	8418	17405
326	8441	17372
327	8465	17343
328	8488	17313
329	8513	17285
330	8539	17258
331	8563	17230
332	8589	17204
333	8614	17177
334	8641	17154
335	8667	17127
336	8694	17104
337	8720	17080
338	8746	17053
339	8771	17026
340	8796	16999
341	8822	16974
342	8849	16949
343	8873	16922
344	8900	16897
345	8927	16874
346	8954	16850
347	8980	16825
348	9007	16801
349	9032	16774
350	9058	16749
351	9084	16723
352	9110	16697
353	9136	16672
354	9163	16648
355	9187	16620
356	9214	16596
357	9239	16568
358	9266	16544
359	9291	16518
360	9316	16490
361	9341	16462
362	9365	16435
363	9390	16407
364	9415	16379
365	9438	16349
366	9464	16323
367	9491	16301
368	9518	16276
369	9544	16252
370	9570	16225
371	9597	16202
372	9622	16175
373	9648	16149
374	9675	16125
375	9701	16099
376	9726	16073
377	9751	16045
378	9779	16023
379	9804	15996
380	9830	15970
381	9856	15945
382	9882	15919
383	9906	15891
384	9933	15867
385	9960	15843
386	9984	15815
387	10011	15791
388	10039	15768
389	10062	15738
390	10088	15713
391	10113	15686
392	10139	15660
393	10166	15637
394	10192	15611
395	10220	15588
396	10246	15563
397	10272	15538
398	10298	15512
399	10322	15483
400	10347	15456
401	10374	15433
402	10399	15406
